Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Property_Type,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,Buyer_Concession_to_Seller,Buyer_Concession_$/%,Seller_Concession_to_Buyer,Seller_Concession_$/%
85003,AF,1,1,720,340.28,Residential,Stacked,1964,652,Community,567,N,Yes,BASEMENT Y/N: N,Yes,"247,000","245,000",High Rise,Yes,Yes,0,1,Conventional,Fixed,0,$,3,%
85003,LS,1,1,755,430.46,Residential,Stacked,2005,751,Private,631,N,Yes,BASEMENT Y/N: N,Yes,"335,000","325,000",High Rise,Yes,Yes,0,0,VA,Fixed,0,%,0,$
85003,SF,4,3,"3,415",439.23,Residential,Detached,1940,"11,696",None,555.63,N,Yes,BASEMENT Y/N: Y,Yes,"1,595,000","1,500,000",High Rise,Yes,Yes,2,0,Conventional,Fixed,0,$,0,$
85003,AF,1,1,710,436.61,Residential,Stacked,2005,0,Community,671.17,N,Yes,BASEMENT Y/N: N,Yes,"315,000","310,000",High Rise,Yes,Yes,0,0,Conventional,Adjustable,0,$,6000,$
85003,AF,2,2.5,"1,510",314.56,Residential,Stacked,2007,654,Community,567.93,N,Yes,BASEMENT Y/N: N,,"469,900","475,000",High Rise,,Yes,2,0,Conventional,Fixed,0,$,3.75,%
85003,AF,1,1,893,671.89,Residential,Attached,2016,820,Community,1280.4,N,Yes,BASEMENT Y/N: N,,"625,000","600,000",High Rise,,Yes,1,0,Cash,Fixed,0,%,0,%
85004,AF,2,1.75,"1,456",346.84,Residential,Stacked,1964,148,Community,761.81,N,Yes,BASEMENT Y/N: N,,"525,000","505,000",High Rise,,Yes,1,0,Cash,Fixed,0,$,0,$
85004,AF,2,2.5,"1,463",380.72,Residential,Stacked,2007,"1,558",Community,693.77,N,Yes,BASEMENT Y/N: N,,"568,000","557,000",High Rise,,Yes,1,0,Conventional,Fixed,0,$,0,$
85004,AF,2,2,"1,624",354.06,Residential,Stacked,2004,924,Community,1280.4,N,Yes,BASEMENT Y/N: N,,"575,000","575,000",High Rise,,,2,0,Conventional,Fixed,0,$,2000,$
85004,AF,2,1.75,"1,456",346.84,Residential,Stacked,1964,148,Community,761.81,N,Yes,BASEMENT Y/N: N,,"525,000","505,000",,,,1,0,Cash,Fixed,0,$,0,$
85004,AF,2,2.5,"1,463",380.72,Residential,Stacked,2007,"1,558",Community,693.77,N,,BASEMENT Y/N: N,,"568,000","557,000",,,,1,0,Conventional,Fixed,0,$,0,$
85004,AF,2,2,"1,624",354.06,Residential,Stacked,2004,924,Community,,N,,BASEMENT Y/N: N,,"575,000","575,000",,,,2,0,Conventional,Fixed,0,$,2000,$
85006,SF,4,2,"1,834",327.09,Residential,Detached,1963,"8,120",None,,N,,BASEMENT Y/N: N,,"599,900","599,900",,,,0,2,Conventional,Fixed,0,$,0,$
85006,SF,2,2,924,517.31,Residential,Detached,1920,"6,500",None,,N,,BASEMENT Y/N: N,,"490,000","478,000",,,,0,0,VA,Fixed,0,$,0,$
85006,SF,3,2,"1,383",390.38,Residential,Detached,1943,"6,347",None,,N,,BASEMENT Y/N: N,,"539,900","539,900",,,,0,2,Conventional,Other,0,$,5000,$
85006,SF,2,2,"1,170",350.42,Residential,Detached,2007,"6,875",None,,N,,BASEMENT Y/N: N,,"410,000","410,000",,,,0,0,Conventional,,0,$,10000,$
85006,SF,2,1,"1,022",313.11,Residential,Detached,1911,"8,854",None,,N,,BASEMENT Y/N: N,,"550,000","320,000",,,,0,0,Cash,,0,$,0,$
85006,SF,3,2,"1,104",380.43,Residential,Detached,1947,"8,250",None,,N,,BASEMENT Y/N: N,,"430,000","420,000",,,,0,0,FHA,,0,$,0,$
85006,SF,3,2,"1,562",230.47,Residential,Detached,1958,"15,482",None,,N,,BASEMENT Y/N: N,,"390,000","360,000",,,,0,2,Cash,,0,%,0,%
85006,SF,5,2,"1,766",271.8,Residential,Detached,1948,"7,627",None,,N,,BASEMENT Y/N: N,,"550,000","480,000",,,,1,0,Cash,,0,$,0,$
85006,SF,3,1,"1,338",429.74,Residential,Detached,1929,"7,405",None,,N,,BASEMENT Y/N: N,,"610,000","575,000",,,,0,0,Conventional,,0,%,0,%
85007,SF,4,3,"2,688",282.74,Residential,Detached,1945,"10,489",Private,,N,,BASEMENT Y/N: N,,"790,000","760,000",,,,2,0,Conventional,,0,$,8000,$
85007,SF,3,2,"1,497",490.98,Residential,Detached,1929,"6,843",Private,155,N,Yes,BASEMENT Y/N: N,Yes,"759,000","735,000",2-3-4 Plex,Yes,Yes,0,0,Conventional,Fixed,0,$,0,$
85007,SF,4,2,"1,288",236.02,Residential,Detached,1950,"4,078",None,265,N,Yes,BASEMENT Y/N: N,Yes,"310,000","304,000",Clustered,Yes,Yes,0,1,FHA,Fixed,0,%,8000,$
85007,SF,2,2,"1,566",382.5,Residential,Detached,1940,"8,481",None,200,N,Yes,BASEMENT Y/N: N,Yes,"599,000","599,000",High Rise,Yes,,2,1,Conventional,Fixed,0,%,0,%
85007,SF,4,3,"3,594",513.35,Residential,Detached,1935,"26,292",Private,220,N,Yes,BASEMENT Y/N: Y,,"1,875,000","1,845,000",,Yes,,2,0,Conventional,Fixed,0,%,0,%
85008,SF,3,2,"1,038",399.81,Residential,Detached,1950,"6,848",Private,200,N,,BASEMENT Y/N: N,,"419,900","415,000",,Yes,,0,2,Conventional,Fixed,0,$,3,%
85008,SF,3,2.5,"1,753",407.87,Residential,Detached,1952,"8,377",None,245.36,N,,BASEMENT Y/N: N,,"749,000","715,000",,Yes,,1,0,Conventional,Fixed,0,$,0,$
85008,SF,3,2,"1,858",333.69,Residential,Detached,1955,"7,836",None,180,N,,BASEMENT Y/N: N,,"644,900","620,000",,Yes,,1,0,Conventional,Fixed,0,$,0,$
85008,TH,2,2,"1,062",334.27,Residential,Attached,1973,"2,259",Community,300,N,,BASEMENT Y/N: N,,"359,000","355,000",,Yes,,0,2,Conventional,Fixed,0,$,0,$
85008,SF,4,2,"1,562",220.87,Residential,Detached,1955,"6,756",None,241.84,N,,BASEMENT Y/N: N,,"344,500","345,000",,,,0,1,Conventional,Other,0,%,2.5,%
85008,TH,2,2.5,"1,408",234.3,Residential,Attached,1966,"1,607",Community,,N,,BASEMENT Y/N: N,,"329,900","329,900",,,,0,2,Conventional,Fixed,0,$,5000,$
85008,SF,3,2,"1,162",328.23,Residential,Detached,1950,"8,459",None,,N,,BASEMENT Y/N: N,,"399,900","381,400",,,,1,2,Cash,Fixed,0,$,0,$
85008,SF,4,1.5,"1,469",248.46,Residential,Detached,1951,"7,806",None,,N,,BASEMENT Y/N: N,,"369,900","365,000",,,,0,0,Conventional,Fixed,0,%,0,$
85008,AF,2,2,941,324.12,Residential,Attached,2002,903,Community,,N,,BASEMENT Y/N: N,,"305,000","305,000",,,,1,0,Conventional,Fixed,0,$,3550,$
85008,SF,3,2,"1,641",307.74,Residential,Detached,1956,"6,578",None,,N,,BASEMENT Y/N: N,,"514,999","505,000",,,,1,1,Conventional,Other,0,$,3,%
85008,AF,2,2,893,251.96,Residential,Stacked,1985,96,Community,,N,,BASEMENT Y/N: N,,"230,000","225,000",,,,0,1,Conventional,Fixed,0,%,4.5,%
85008,AF,2,2,893,223.96,Residential,Stacked,1985,852,Community,,N,,BASEMENT Y/N: N,,"215,000","200,000",,,,0,1,Conventional,Balloon,0,%,0,%
