,Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,HOA_Missing,Buyer_Concession,Seller_Concession,diff_List_Sold
0,85003,AF,1,1.0,720,340.28,Stacked,1964,652,Community,567.0,N,Yes,N,Yes,247000,245000,High Rise,Yes,Yes,0.0,1.0,Conventional,Fixed,0,0.0,7410.0,-2000
1,85003,LS,1,1.0,755,430.46,Stacked,2005,751,Private,631.0,N,Yes,N,Yes,335000,325000,High Rise,Yes,Yes,0.0,0.0,VA,Fixed,0,0.0,0.0,-10000
2,85003,SF,4,3.0,3415,439.23,Detached,1940,11696,no_pool,555.63,N,Yes,Y,Yes,1595000,1500000,High Rise,Yes,Yes,2.0,0.0,Conventional,Fixed,0,0.0,0.0,-95000
3,85003,AF,1,1.0,710,436.61,Stacked,2005,0,Community,671.17,N,Yes,N,Yes,315000,310000,High Rise,Yes,Yes,0.0,0.0,Conventional,Adjustable,0,0.0,6000.0,-5000
4,85003,AF,2,2.5,1510,314.56,Stacked,2007,654,Community,567.93,N,Yes,N,No,469900,475000,High Rise,No,Yes,2.0,0.0,Conventional,Fixed,0,0.0,17621.25,5100
5,85003,AF,1,1.0,893,671.89,Attached,2016,820,Community,1280.4,N,Yes,N,No,625000,600000,High Rise,No,Yes,1.0,0.0,Cash,Fixed,0,0.0,0.0,-25000
6,85004,AF,2,1.75,1456,346.84,Stacked,1964,148,Community,761.81,N,Yes,N,No,525000,505000,High Rise,No,Yes,1.0,0.0,Cash,Fixed,0,0.0,0.0,-20000
7,85004,AF,2,2.5,1463,380.72,Stacked,2007,1558,Community,693.77,N,Yes,N,No,568000,557000,High Rise,No,Yes,1.0,0.0,Conventional,Fixed,0,0.0,0.0,-11000
8,85004,AF,2,2.0,1624,354.06,Stacked,2004,924,Community,1280.4,N,Yes,N,No,575000,575000,High Rise,No,No,2.0,0.0,Conventional,Fixed,0,0.0,2000.0,0
9,85004,AF,2,1.75,1456,346.84,Stacked,1964,148,Community,761.81,N,Yes,N,No,525000,505000,Missing,No,No,1.0,0.0,Cash,Fixed,0,0.0,0.0,-20000
